DL1,1,DL,,DL1@vocera.com,,,,,,,aaa000880001,,,,,Global,,,,
DL2,2,DL,,DL2@vocera.com,,,,,,,aaa000880002,,,,,Global,,,,
DL3,3,DL,,DL3@vocera.com,,,,,,,aaa000880003,,,,,Global,,,,
DL4,4,DL,,DL4@vocera.com,,,,,,,aaa000880004,,,,,Global,,,,
DL5,5,DL,,DL5@vocera.com,,,,,,,aaa000880005,,,,,Global,,,,
DL6,6,DL,,DL6@vocera.com,,,,,,,aaa000880006,,,,,Global,,,,
DL7,7,DL,,DL7@vocera.com,,,,,,,aaa000880007,,,,,Global,,,,
DL8,8,DL,,DL8@vocera.com,,,,,,,aaa000880008,,,,,Global,,,,
DL9,9,DL,,DL9@vocera.com,,,,,,,aaa000880009,,,,,Global,,,,
DL10,10,DL,,DL10@vocera.com,,,,,,,aaa000880010,,,,,Global,,,,
DL11,11,DL,,DL11@vocera.com,,,,,,,aaa000880011,,,,,Global,,,,
DL12,12,DL,,DL12@vocera.com,,,,,,,aaa000880012,,,,,Global,,,,
DL13,13,DL,,DL13@vocera.com,,,,,,,aaa000880013,,,,,Global,,,,
DL14,14,DL,,DL14@vocera.com,,,,,,,aaa000880014,,,,,Global,,,,
DL15,15,DL,,DL15@vocera.com,,,,,,,aaa000880015,,,,,Global,,,,
DL16,16,DL,,DL16@vocera.com,,,,,,,aaa000880016,,,,,Global,,,,
DL17,17,DL,,DL17@vocera.com,,,,,,,aaa000880017,,,,,Global,,,,
DL18,18,DL,,DL18@vocera.com,,,,,,,aaa000880018,,,,,Global,,,,
DL19,19,DL,,DL19@vocera.com,,,,,,,aaa000880019,,,,,Global,,,,
DL20,20,DL,,DL20@vocera.com,,,,,,,aaa000880020,,,,,Global,,,,
DL21,21,DL,,DL21@vocera.com,,,,,,,aaa000880021,,,,,Global,,,,
DL22,22,DL,,DL22@vocera.com,,,,,,,aaa000880022,,,,,Global,,,,
DL23,23,DL,,DL23@vocera.com,,,,,,,aaa000880023,,,,,Global,,,,
DL24,24,DL,,DL24@vocera.com,,,,,,,aaa000880024,,,,,Global,,,,
